Service|PID|BootTimeInSec|LastBootedAt|LastUpAt
analytics|2139|43.953678|2019-05-16 13:52:58.280000|2019-05-16 13:52:14.326322
applmgmt|2536|12.98029|2019-05-16 13:52:31.506000|2019-05-16 13:52:18.525710
certificatemanagement|3671|18.542398|2019-05-16 13:53:35.252000|2019-05-16 13:53:16.709602
cis-license|2321|36.512598|2019-05-16 13:52:53.404000|2019-05-16 13:52:16.891402
content-library|7718|46.087452|2019-05-16 13:55:11.159000|2019-05-16 13:54:25.071548
eam|2527|43.682362|2019-05-16 13:53:01.939000|2019-05-16 13:52:18.256638
envoy|2136|2.134966|2019-05-16 13:52:16.575000|2019-05-16 13:52:14.440034
hvc|3669|22.346393|2019-05-16 13:53:38.977000|2019-05-16 13:53:16.630607
lookupsvc|2627|57.063916|2019-05-16 13:53:16.940000|2019-05-16 13:52:19.876084
perfcharts|7762|29.546043|2019-05-16 13:54:54.740000|2019-05-16 13:54:25.193957
pschealth|7689|3.361912|2019-05-16 13:54:27.738000|2019-05-16 13:54:24.376088
rhttpproxy|2317|3.022448|2019-05-16 13:52:19.637000|2019-05-16 13:52:16.614552
sca|3725|28.698859|2019-05-16 13:53:46.495000|2019-05-16 13:53:17.796141
sps|7746|37.091031|2019-05-16 13:55:02.069000|2019-05-16 13:54:24.977969
statsmonitor|2137|2.427467|2019-05-16 13:52:16.590000|2019-05-16 13:52:14.162533
sts|2141|2.234523|2019-05-16 13:52:16.580000|2019-05-16 13:52:14.345477
topologysvc|3668|16.500593|2019-05-16 13:53:33.027000|2019-05-16 13:53:16.526407
trustmanagement|3675|19.376481|2019-05-16 13:53:36.084000|2019-05-16 13:53:16.707519
updatemgr|7886|27.706275|2019-05-16 13:54:54.593000|2019-05-16 13:54:26.886725
vapi-endpoint|3705|37.233975|2019-05-16 13:53:54.318000|2019-05-16 13:53:17.084025
vlcm|3673|15.62852|2019-05-16 13:53:31.967000|2019-05-16 13:53:16.338480
vmonapi|4039|3.102007|2019-05-16 13:53:28.676000|2019-05-16 13:53:25.573993
vmware-postgres-archiver|2655|2.084996|2019-05-16 13:52:22.832000|2019-05-16 13:52:20.747004
vmware-vpostgres|2526|2.272942|2019-05-16 13:52:21.198000|2019-05-16 13:52:18.925058
vpxd|6731|21.116595|2019-05-16 13:54:25.227000|2019-05-16 13:54:04.110405
vpxd-svcs|3722|45.723968|2019-05-16 13:54:03.021000|2019-05-16 13:53:17.297032
vsan-dps|7720|2.299175|2019-05-16 13:54:27.794000|2019-05-16 13:54:25.494825
vsan-health|7692|37.946322|2019-05-16 13:55:02.636000|2019-05-16 13:54:24.689678
vsm|7745|19.088223|2019-05-16 13:54:44.962000|2019-05-16 13:54:25.873777
vsphere-client|2628|97.729467|2019-05-16 13:53:56.787000|2019-05-16 13:52:19.057533
vsphere-ui|2637|66.279619|2019-05-16 13:53:26.534000|2019-05-16 13:52:20.254381
wcp|7905|10.026916|2019-05-16 13:54:36.492000|2019-05-16 13:54:26.465084
vsphere-ui|9875|25.442512|2019-05-17 11:27:19.898000|2019-05-17 11:26:54.455488
vpxd|30892|116.937269|2019-05-21 09:32:54.802000|2019-05-21 09:30:57.864731
updatemgr|18217|18.670134|2019-05-21 09:44:55.418000|2019-05-21 09:44:36.747866
vsphere-ui|9846|35.934153|2019-05-21 11:42:06.732000|2019-05-21 11:41:30.797847
vpxd|50678|89.995103|2019-05-21 15:38:45.907000|2019-05-21 15:37:15.911897
vsphere-ui|32430|36.246249|2019-05-21 15:51:19.911000|2019-05-21 15:50:43.664751
vsphere-ui|17762|25.681293|2019-05-22 09:06:19.904000|2019-05-22 09:05:54.222707
analytics|43426|23.287495|2019-05-22 10:14:42.647000|2019-05-22 10:14:19.359505
applmgmt|43948|18.331336|2019-05-22 10:14:41.015000|2019-05-22 10:14:22.683664
certificatemanagement|44623|11.982225|2019-05-22 10:15:02.972000|2019-05-22 10:14:50.989775
cis-license|43534|19.495672|2019-05-22 10:14:38.800000|2019-05-22 10:14:19.304328
content-library|54996|44.933599|2019-05-22 10:18:05.542000|2019-05-22 10:17:20.608401
eam|43898|19.96404|2019-05-22 10:14:41.869000|2019-05-22 10:14:21.904960
envoy|43423|1.572712|2019-05-22 10:14:20.809000|2019-05-22 10:14:19.236288
hvc|44621|12.499553|2019-05-22 10:15:04.072000|2019-05-22 10:14:51.572447
lookupsvc|43998|28.653408|2019-05-22 10:14:51.601000|2019-05-22 10:14:22.947592
perfcharts|54962|97.143488|2019-05-22 10:18:57.529000|2019-05-22 10:17:20.385512
pschealth|54915|1.795128|2019-05-22 10:17:21.476000|2019-05-22 10:17:19.680872
rhttpproxy|43670|2.360955|2019-05-22 10:14:22.390000|2019-05-22 10:14:20.029045
sca|44737|28.762004|2019-05-22 10:15:21.082000|2019-05-22 10:14:52.319996
statsmonitor|43424|0.943815|2019-05-22 10:14:20.827000|2019-05-22 10:14:19.883185
sts|43428|53.852155|2019-05-22 10:15:13.014000|2019-05-22 10:14:19.161845
topologysvc|44618|11.75055|2019-05-22 10:15:03.196000|2019-05-22 10:14:51.445450
trustmanagement|44627|11.30232|2019-05-22 10:15:03.038000|2019-05-22 10:14:51.735680
updatemgr|55124|104.872936|2019-05-22 10:19:05.900000|2019-05-22 10:17:21.027064
vapi-endpoint|44763|28.265738|2019-05-22 10:15:20.585000|2019-05-22 10:14:52.319262
vlcm|44626|10.128702|2019-05-22 10:15:01.794000|2019-05-22 10:14:51.665298
vmonapi|46387|2.494159|2019-05-22 10:15:12.507000|2019-05-22 10:15:10.012841
vmware-postgres-archiver|44103|1.690238|2019-05-22 10:14:25.987000|2019-05-22 10:14:24.296762
vmware-vpostgres|43977|1.629786|2019-05-22 10:14:24.235000|2019-05-22 10:14:22.605214
vpxd|48828|100.853174|2019-05-22 10:17:19.800000|2019-05-22 10:15:38.946826
vpxd-svcs|44738|45.055406|2019-05-22 10:15:37.330000|2019-05-22 10:14:52.274594
vsan-dps|54961|53.139524|2019-05-22 10:18:13.711000|2019-05-22 10:17:20.571476
