date|vcName|service|pid|boot_time_in_sec|last_started_at|last_triggered_at
1559765117|cloud02-w3.stls.local|wcp|15606|3.117976|2019-06-05 20:05:20.701000|2019-06-05 20:05:17.583024
1559783904|cloud02-w3.stls.local|vpxd|49760|72.712821|2019-06-06 01:19:36.791000|2019-06-06 01:18:24.078179
1559808559|cloud02-w3.stls.local|vcha|9726|1.201815|2019-06-06 08:09:20.293000|2019-06-06 08:09:19.091185
1559816295|cloud02-w3.stls.local|vpxd-svcs|22881|46.683755|2019-06-06 10:19:02.035000|2019-06-06 10:18:15.351245
1559817298|cloud02-w3.stls.local|lookupsvc|33003|20.498607|2019-06-06 10:35:19.087000|2019-06-06 10:34:58.588393
1559817256|cloud02-w3.stls.local|sts|31220|35.231002|2019-06-06 10:34:51.300000|2019-06-06 10:34:16.068998
1559817160|cloud02-w3.stls.local|vpxd-svcs|25400|19.732838|2019-06-06 10:33:00.321000|2019-06-06 10:32:40.588162
1559817772|cloud02-w3.stls.local|lookupsvc|8102|16.603689|2019-06-06 10:43:08.957000|2019-06-06 10:42:52.353311
1559818063|cloud02-w3.stls.local|sps|24098|45.575302|2019-06-06 10:48:29.429000|2019-06-06 10:47:43.853698
1559817734|cloud02-w3.stls.local|sts|5598|34.05112|2019-06-06 10:42:48.160000|2019-06-06 10:42:14.108880
1559817684|cloud02-w3.stls.local|vsphere-ui|65525|43.650623|2019-06-06 10:42:08.467000|2019-06-06 10:41:24.816377
