date|vcName|service|pid|boot_time_in_sec|last_started_at|last_triggered_at
1559643540|cloud02-w3.stls.local|system|0|25.346|2019-06-04 10:19:00|2019-06-04 10:19:00
1559643614|cloud02-w3.stls.local|analytics|2088|36.964713|2019-06-04 10:20:51.364000|2019-06-04 10:20:14.399287
1559643617|cloud02-w3.stls.local|applmgmt|2403|12.22646|2019-06-04 10:20:29.792000|2019-06-04 10:20:17.565540
1559643661|cloud02-w3.stls.local|certificatemanagement|3336|15.119134|2019-06-04 10:21:16.829000|2019-06-04 10:21:01.709866
1559643615|cloud02-w3.stls.local|cis-license|2243|35.951723|2019-06-04 10:20:51.807000|2019-06-04 10:20:15.855277
1559643723|cloud02-w3.stls.local|content-library|6496|53.147746|2019-06-04 10:22:56.148000|2019-06-04 10:22:03.000254
1559643618|cloud02-w3.stls.local|eam|2400|35.508431|2019-06-04 10:20:53.653000|2019-06-04 10:20:18.144569
1559643614|cloud02-w3.stls.local|envoy|2085|1.289147|2019-06-04 10:20:15.578000|2019-06-04 10:20:14.288853
1559643662|cloud02-w3.stls.local|hvc|3334|17.427226|2019-06-04 10:21:19.860000|2019-06-04 10:21:02.432774
1559643619|cloud02-w3.stls.local|lookupsvc|2581|42.284817|2019-06-04 10:21:01.916000|2019-06-04 10:20:19.631183
1559643722|cloud02-w3.stls.local|perfcharts|6499|37.520386|2019-06-04 10:22:40.402000|2019-06-04 10:22:02.881614
1559643722|cloud02-w3.stls.local|pschealth|6464|2.509871|2019-06-04 10:22:04.534000|2019-06-04 10:22:02.024129
1559643616|cloud02-w3.stls.local|rhttpproxy|2329|2.945291|2019-06-04 10:20:19.165000|2019-06-04 10:20:16.219709
1559643663|cloud02-w3.stls.local|sca|3392|27.831503|2019-06-04 10:21:31.195000|2019-06-04 10:21:03.363497
1559643723|cloud02-w3.stls.local|sps|6495|27.082442|2019-06-04 10:22:30.592000|2019-06-04 10:22:03.509558
1559643613|cloud02-w3.stls.local|statsmonitor|2095|1.966034|2019-06-04 10:20:15.618000|2019-06-04 10:20:13.651966
1559643613|cloud02-w3.stls.local|sts|2090|1.864297|2019-06-04 10:20:15.661000|2019-06-04 10:20:13.796703
1559643661|cloud02-w3.stls.local|topologysvc|3333|14.895528|2019-06-04 10:21:16.837000|2019-06-04 10:21:01.941472
1559643662|cloud02-w3.stls.local|trustmanagement|3340|14.681999|2019-06-04 10:21:16.767000|2019-06-04 10:21:02.085001
1559643724|cloud02-w3.stls.local|updatemgr|6677|27.554332|2019-06-04 10:22:31.785000|2019-06-04 10:22:04.230668
1559643663|cloud02-w3.stls.local|vapi-endpoint|3394|27.581941|2019-06-04 10:21:30.956000|2019-06-04 10:21:03.374059
1559643661|cloud02-w3.stls.local|vlcm|3339|13.356999|2019-06-04 10:21:14.928000|2019-06-04 10:21:01.571001
1559643684|cloud02-w3.stls.local|vmonapi|4467|1.479969|2019-06-04 10:21:26.248000|2019-06-04 10:21:24.768031
1559643619|cloud02-w3.stls.local|vmware-postgres-archiver|2604|1.700148|2019-06-04 10:20:21.613000|2019-06-04 10:20:19.912852
1559643617|cloud02-w3.stls.local|vmware-vpostgres|2395|2.808843|2019-06-04 10:20:19.868000|2019-06-04 10:20:17.059157
1559643701|cloud02-w3.stls.local|vpxd|5714|21.308085|2019-06-04 10:22:02.512000|2019-06-04 10:21:41.203915
1559643663|cloud02-w3.stls.local|vpxd-svcs|3393|35.694308|2019-06-04 10:21:39.042000|2019-06-04 10:21:03.347692
1559643723|cloud02-w3.stls.local|vsan-dps|6497|1.212995|2019-06-04 10:22:04.706000|2019-06-04 10:22:03.493005
1559643721|cloud02-w3.stls.local|vsan-health|6466|38.183593|2019-06-04 10:22:39.821000|2019-06-04 10:22:01.637407
1559643722|cloud02-w3.stls.local|vsm|6498|19.182982|2019-06-04 10:22:21.964000|2019-06-04 10:22:02.781018
1559643619|cloud02-w3.stls.local|vsphere-client|2597|89.645843|2019-06-04 10:21:49.572000|2019-06-04 10:20:19.926157
1559643620|cloud02-w3.stls.local|vsphere-ui|2580|63.04642|2019-06-04 10:21:23.117000|2019-06-04 10:20:20.070580
1559643727|cloud02-w3.stls.local|wcp|6755|7.444855|2019-06-04 10:22:14.660000|2019-06-04 10:22:07.215145
