Service|PID|BootTimeInSec|LastBootedAt|LastCameUpAt
analytics|2074|143.352515|2019-05-09 19:52:09.919000|2019-05-09 19:49:46.566485
applmgmt|2551|29.20004|2019-05-09 19:50:24.364000|2019-05-09 19:49:55.163960
certificatemanagement|9902|29.207636|2019-05-09 19:53:05.580000|2019-05-09 19:52:36.372364
cis-license|2230|129.117726|2019-05-09 19:51:57.697000|2019-05-09 19:49:48.579274
content-library|20130|92.302186|2019-05-09 19:56:57.089000|2019-05-09 19:55:24.786814
eam|2329|139.850653|2019-05-09 19:52:10.838000|2019-05-09 19:49:50.987347
hvc|9900|51.330239|2019-05-09 19:53:27.522000|2019-05-09 19:52:36.191761
imagebuilder|16554|7.403272|2019-05-09 20:32:05.799000|2019-05-09 20:31:58.395728
lookupsvc|2702|154.535684|2019-05-09 19:52:36.134000|2019-05-09 19:50:01.598316
perfcharts|20131|68.069352|2019-05-09 19:56:32.944000|2019-05-09 19:55:24.874648
pschealth|20104|2.255906|2019-05-09 19:55:26.332000|2019-05-09 19:55:24.076094
rbd|16405|4.908728|2019-05-09 20:31:57.192000|2019-05-09 20:31:52.283272
rhttpproxy|2218|11.380928|2019-05-09 19:50:00.870000|2019-05-09 19:49:49.489072
sca|9964|69.315393|2019-05-09 19:53:45.012000|2019-05-09 19:52:35.696607
sps|20132|67.524649|2019-05-09 19:56:32.428000|2019-05-09 19:55:24.903351
statsmonitor|2078|4.843788|2019-05-09 19:49:51.953000|2019-05-09 19:49:47.109212
sts|2077|1.675325|2019-05-09 19:49:48.986000|2019-05-09 19:49:47.310675
topologysvc|9899|32.075317|2019-05-09 19:53:08.591000|2019-05-09 19:52:36.515683
trustmanagement|9904|46.411407|2019-05-09 19:53:22.132000|2019-05-09 19:52:35.720593
updatemgr|20297|69.253355|2019-05-09 19:56:34.189000|2019-05-09 19:55:24.935645
vapi-endpoint|9963|59.762057|2019-05-09 19:53:35.902000|2019-05-09 19:52:36.139943
vmonapi|12320|8.72658|2019-05-09 19:53:23.160000|2019-05-09 19:53:14.433420
vmware-postgres-archiver|3352|2.556851|2019-05-09 19:50:09.208000|2019-05-09 19:50:06.651149
vmware-vpostgres|2389|15.300767|2019-05-09 19:50:07.157000|2019-05-09 19:49:51.856233
vpxd|15128|82.391738|2019-05-09 19:55:24.452000|2019-05-09 19:54:02.060262
vpxd-svcs|9965|84.31899|2019-05-09 19:54:00.586000|2019-05-09 19:52:36.267010
vsan-dps|20133|50.826281|2019-05-09 19:56:16.304000|2019-05-09 19:55:25.477719
vsan-health|20106|69.541794|2019-05-09 19:56:33.225000|2019-05-09 19:55:23.683206
vsm|20149|34.33663|2019-05-09 19:55:59.225000|2019-05-09 19:55:24.888370
vsphere-client|2649|246.039086|2019-05-09 19:54:07.129000|2019-05-09 19:50:01.089914
vsphere-ui|2648|219.798951|2019-05-09 19:53:41.092000|2019-05-09 19:50:01.293049
analytics|48686|50.557138|2019-05-16 05:57:47.364000|2019-05-16 05:56:56.806862
applmgmt|49168|31.57702|2019-05-16 05:57:33.584000|2019-05-16 05:57:02.006980
certificatemanagement|50014|20.224252|2019-05-16 05:58:17.427000|2019-05-16 05:57:57.202748
cis-license|48732|42.471453|2019-05-16 05:57:40.866000|2019-05-16 05:56:58.394547
eam|49052|43.490953|2019-05-16 05:57:43.107000|2019-05-16 05:56:59.616047
hvc|50011|27.949976|2019-05-16 05:58:24.753000|2019-05-16 05:57:56.803024
lookupsvc|49329|47.199655|2019-05-16 05:57:57.224000|2019-05-16 05:57:10.024345
rhttpproxy|48866|11.018385|2019-05-16 05:57:09.393000|2019-05-16 05:56:58.374615
sca|50039|27.812508|2019-05-16 05:58:24.373000|2019-05-16 05:57:56.560492
statsmonitor|48689|1.912218|2019-05-16 05:56:58.688000|2019-05-16 05:56:56.775782
sts|48688|78.532961|2019-05-16 05:58:15.493000|2019-05-16 05:56:56.960039
topologysvc|50010|20.225356|2019-05-16 05:58:17.377000|2019-05-16 05:57:57.151644
trustmanagement|50015|23.967595|2019-05-16 05:58:21.345000|2019-05-16 05:57:57.377405
vapi-endpoint|50041|35.94702|2019-05-16 05:58:32.564000|2019-05-16 05:57:56.616980
vmonapi|50707|2.514302|2019-05-16 05:58:16.424000|2019-05-16 05:58:13.909698
vmware-postgres-archiver|49186|1.66421|2019-05-16 05:57:04.780000|2019-05-16 05:57:03.115790
vmware-vpostgres|49104|1.844816|2019-05-16 05:57:03.159000|2019-05-16 05:57:01.314184
vpxd-svcs|50038|60.193716|2019-05-16 05:58:56.906000|2019-05-16 05:57:56.712284
vsphere-client|49328|120.124928|2019-05-16 05:59:10.143000|2019-05-16 05:57:10.018072
vsphere-ui|49327|85.722997|2019-05-16 05:58:35.937000|2019-05-16 05:57:10.214003
content-library|2571|59.531049|2019-05-16 06:01:43.571000|2019-05-16 06:00:44.039951
perfcharts|2508|44.80186|2019-05-16 06:01:28.740000|2019-05-16 06:00:43.938140
pschealth|2474|0.820095|2019-05-16 06:00:44.949000|2019-05-16 06:00:44.128905
sps|2511|43.089055|2019-05-16 06:01:26.828000|2019-05-16 06:00:43.738945
updatemgr|2777|84.585909|2019-05-16 06:02:09.290000|2019-05-16 06:00:44.704091
vpxd|55157|105.870689|2019-05-16 06:00:43.631000|2019-05-16 05:58:57.760311
vsan-dps|2509|42.479546|2019-05-16 06:01:26.636000|2019-05-16 06:00:44.156454
vsan-health|2476|84.347963|2019-05-16 06:02:08.699000|2019-05-16 06:00:44.351037
vsm|2512|17.438588|2019-05-16 06:01:01.979000|2019-05-16 06:00:44.540412
