date|vcName|service|pid|boot_time_in_sec|last_started_at|last_triggered_at
1561433970|cloud02-w3.stls.local|analytics|7947|29.168864|2019-06-25 03:39:59.350000|2019-06-25 03:39:30.181136
1561433970|cloud02-w3.stls.local|applmgmt|8145|15.324602|2019-06-25 03:39:46.130000|2019-06-25 03:39:30.805398
1561433971|cloud02-w3.stls.local|cis-license|8100|27.258013|2019-06-25 03:39:58.385000|2019-06-25 03:39:31.126987
1561433973|cloud02-w3.stls.local|eam|8342|28.012094|2019-06-25 03:40:01.461000|2019-06-25 03:39:33.448906
1561433969|cloud02-w3.stls.local|envoy|7944|2.102185|2019-06-25 03:39:31.823000|2019-06-25 03:39:29.720815
1561433889|cloud02-w3.stls.local|statsmonitor|2164|2.097547|2019-06-25 03:38:11.866000|2019-06-25 03:38:09.768453
1561433970|cloud02-w3.stls.local|sts|7951|48.75762|2019-06-25 03:40:18.795000|2019-06-25 03:39:30.037380
1561433892|cloud02-w3.stls.local|vcha|2465|4.553782|2019-06-25 03:38:17.071000|2019-06-25 03:38:12.517218
1561433970|cloud02-w3.stls.local|vmware-postgres-archiver|8066|1.162914|2019-06-25 03:39:32.106000|2019-06-25 03:39:30.943086
1561433953|cloud02-w3.stls.local|vmware-vpostgres|5914|1.436887|2019-06-25 03:39:14.656000|2019-06-25 03:39:13.219113
1561434157|cloud02-w3.stls.local|certificatemanagement|33390|14.405809|2019-06-25 03:42:51.637000|2019-06-25 03:42:37.231191
1561434157|cloud02-w3.stls.local|hvc|33387|15.297508|2019-06-25 03:42:52.678000|2019-06-25 03:42:37.380492
1561434127|cloud02-w3.stls.local|lookupsvc|31433|29.066674|2019-06-25 03:42:36.779000|2019-06-25 03:42:07.712326
1561434581|cloud02-w3.stls.local|perfcharts|54293|40.709275|2019-06-25 03:50:21.810000|2019-06-25 03:49:41.100725
1561434580|cloud02-w3.stls.local|pschealth|54226|2.014552|2019-06-25 03:49:42.401000|2019-06-25 03:49:40.386448
1561434156|cloud02-w3.stls.local|topologysvc|33385|14.927269|2019-06-25 03:42:51.588000|2019-06-25 03:42:36.660731
1561434156|cloud02-w3.stls.local|trustmanagement|33395|15.682403|2019-06-25 03:42:52.633000|2019-06-25 03:42:36.950597
1561434158|cloud02-w3.stls.local|vmonapi|33777|4.886808|2019-06-25 03:42:43.633000|2019-06-25 03:42:38.746192
1561434198|cloud02-w3.stls.local|vmware-postgres-archiver|36537|2.037654|2019-06-25 03:43:20.082000|2019-06-25 03:43:18.044346
1561434579|cloud02-w3.stls.local|vsan-health|54228|2.518137|2019-06-25 03:49:42.288000|2019-06-25 03:49:39.769863
1561434580|cloud02-w3.stls.local|vsm|54288|30.282855|2019-06-25 03:50:10.343000|2019-06-25 03:49:40.060145
1561434128|cloud02-w3.stls.local|vsphere-client|31434|81.437563|2019-06-25 03:43:29.790000|2019-06-25 03:42:08.352437
1561434127|cloud02-w3.stls.local|vsphere-ui|31407|58.64258|2019-06-25 03:43:06.263000|2019-06-25 03:42:07.620420
1561436029|cloud02-w3.stls.local|analytics|5806|8.519045|2019-06-25 04:13:57.782000|2019-06-25 04:13:49.262955
1561437856|cloud02-w3.stls.local|analytics|36539|10.40345|2019-06-25 04:44:27.256000|2019-06-25 04:44:16.852550
1561437859|cloud02-w3.stls.local|perfcharts|36669|26.539233|2019-06-25 04:44:45.796000|2019-06-25 04:44:19.256767
