time,stcomp_vpxd_timestamp,source,hostname,stcomp_vpxd_subcomp_name,Max of stcomp_vpxd_comp_api_time (ST Charts),Sum of stcomp_vpxd_comp_api_time (ST Charts)
2019-06-06T01:19:00.000Z,2019-06-06t01:19:06,10.146.13.19,cloud02-w3.stls.local,serverapp::init [totaltime],39310,78620
2019-06-06T01:19:00.000Z,2019-06-06t01:19:34,10.146.13.19,cloud02-w3.stls.local,serverapp::start [totaltime],27791,55582
2019-06-06T01:19:00.000Z,2019-06-06t01:19:30,10.146.13.19,cloud02-w3.stls.local,start [vpxdinvthost::start()],3425,6850
2019-06-06T01:19:00.000Z,2019-06-06t01:19:02,10.146.13.19,cloud02-w3.stls.local,[vpxdinvthost::init3()],1297,2594
2019-06-06T01:19:00.000Z,2019-06-06t01:19:03,10.146.13.19,cloud02-w3.stls.local,[vpxddatastore::init2()],1160,2320
2019-06-06T01:18:00.000Z,2019-06-06t01:18:56,10.146.13.19,cloud02-w3.stls.local,[vpxdinvtvm::init(dasprotmap)],6025,12050
2019-06-06T01:18:00.000Z,2019-06-06t01:18:41,10.146.13.19,cloud02-w3.stls.local,[vpxdinvthost::loadfieldsfromdb()],5710,11420
2019-06-06T01:18:00.000Z,2019-06-06t01:18:46,10.146.13.19,cloud02-w3.stls.local,[vpxdinvtvm::load()],4983,9966
2019-06-06T01:18:00.000Z,2019-06-06t01:18:50,10.146.13.19,cloud02-w3.stls.local,[vpxdinvthost::init()],2155,4310
2019-06-06T01:18:00.000Z,2019-06-06t01:18:58,10.146.13.19,cloud02-w3.stls.local,[vpxdinvtdomain::init2()],1729,3458
2019-06-06T01:18:00.000Z,2019-06-06t01:18:47,10.146.13.19,cloud02-w3.stls.local,[vpxddatastore::load()],1546,3092
2019-06-06T01:18:00.000Z,2019-06-06t01:18:34,10.146.13.19,cloud02-w3.stls.local,[vpxdinvt::load()],864,1728
2019-06-06T01:18:00.000Z,2019-06-06t01:18:57,10.146.13.19,cloud02-w3.stls.local,[vpxdinvthost::init2()],806,1612
2019-06-06T01:18:00.000Z,2019-06-06t01:18:35,10.146.13.19,cloud02-w3.stls.local,[vpxdinvtdomain::load()],675,1350
