date|vcName|service|pid|boot_time_in_sec|last_started_at|last_triggered_at
1560146982|cloud02-w3.stls.local|vmdird|3449|3.034365|2019-06-10 06:09:45.530209|2019-06-10 06:09:42.495844
1560146985|cloud02-w3.stls.local|vmcad|3636|1.469778|2019-06-10 06:09:47.097548|2019-06-10 06:09:45.627770
1560146980|cloud02-w3.stls.local|vmafdd|3296|1.768963|2019-06-10 06:09:42.484698|2019-06-10 06:09:40.715735
1560146986|cloud02-w3.stls.local|analytics|3689|36.158827|2019-06-10 06:10:23.057000|2019-06-10 06:09:46.898173
1560146988|cloud02-w3.stls.local|applmgmt|3836|13.665166|2019-06-10 06:10:01.844000|2019-06-10 06:09:48.178834
1560147038|cloud02-w3.stls.local|certificatemanagement|9438|15.192302|2019-06-10 06:10:53.651000|2019-06-10 06:10:38.458698
1560146987|cloud02-w3.stls.local|cis-license|3818|29.330477|2019-06-10 06:10:17.067000|2019-06-10 06:09:47.736523
1560146989|cloud02-w3.stls.local|eam|3933|38.242752|2019-06-10 06:10:27.331000|2019-06-10 06:09:49.088248
1560146987|cloud02-w3.stls.local|envoy|3688|1.335559|2019-06-10 06:09:48.719000|2019-06-10 06:09:47.383441
1560147038|cloud02-w3.stls.local|hvc|9437|16.796969|2019-06-10 06:10:55.467000|2019-06-10 06:10:38.670031
1560146991|cloud02-w3.stls.local|lookupsvc|4034|47.445493|2019-06-10 06:10:38.460000|2019-06-10 06:09:51.014507
1560146987|cloud02-w3.stls.local|rhttpproxy|3842|2.748646|2019-06-10 06:09:50.338000|2019-06-10 06:09:47.589354
1560147038|cloud02-w3.stls.local|sca|9524|29.48326|2019-06-10 06:11:08.351000|2019-06-10 06:10:38.867740
1560146893|cloud02-w3.stls.local|statsmonitor|2348|1.676735|2019-06-10 06:08:14.872000|2019-06-10 06:08:13.195265
1560146986|cloud02-w3.stls.local|sts|3693|78.009082|2019-06-10 06:11:04.479000|2019-06-10 06:09:46.469918
1560147038|cloud02-w3.stls.local|topologysvc|9435|14.928775|2019-06-10 06:10:53.677000|2019-06-10 06:10:38.748225
1560147039|cloud02-w3.stls.local|trustmanagement|9456|14.664264|2019-06-10 06:10:53.698000|2019-06-10 06:10:39.033736
1560147039|cloud02-w3.stls.local|vapi-endpoint|9563|36.444521|2019-06-10 06:11:15.834000|2019-06-10 06:10:39.389479
1560146895|cloud02-w3.stls.local|vcha|2400|3.307288|2019-06-10 06:08:18.989000|2019-06-10 06:08:15.681712
1560147038|cloud02-w3.stls.local|vlcm|9441|11.240702|2019-06-10 06:10:50.230000|2019-06-10 06:10:38.989298
1560147060|cloud02-w3.stls.local|vmonapi|10933|1.947505|2019-06-10 06:11:02.283000|2019-06-10 06:11:00.335495
1560146987|cloud02-w3.stls.local|vmware-postgres-archiver|3780|1.486648|2019-06-10 06:09:49.123000|2019-06-10 06:09:47.636352
1560146952|cloud02-w3.stls.local|vmware-vpostgres|2722|19.113156|2019-06-10 06:09:32.042000|2019-06-10 06:09:12.928844
1560147038|cloud02-w3.stls.local|vpxd-svcs|9529|46.019423|2019-06-10 06:11:24.535000|2019-06-10 06:10:38.515577
1560146990|cloud02-w3.stls.local|vsphere-client|4042|100.000435|2019-06-10 06:11:30.981000|2019-06-10 06:09:50.980565
1560146991|cloud02-w3.stls.local|vsphere-ui|4047|65.902228|2019-06-10 06:10:57.189000|2019-06-10 06:09:51.286772
1560147197|cloud02-w3.stls.local|content-library|26890|64.550604|2019-06-10 06:14:21.597000|2019-06-10 06:13:17.046396
1560147197|cloud02-w3.stls.local|perfcharts|26919|31.394758|2019-06-10 06:13:48.809000|2019-06-10 06:13:17.414242
1560147195|cloud02-w3.stls.local|pschealth|26858|2.535526|2019-06-10 06:13:18.318000|2019-06-10 06:13:15.782474
1560147196|cloud02-w3.stls.local|sps|26932|409.73729|2019-06-10 06:20:06.730000|2019-06-10 06:13:16.992710
1560147198|cloud02-w3.stls.local|updatemgr|27064|2.175366|2019-06-10 06:13:20.288000|2019-06-10 06:13:18.112634
1560147201|cloud02-w3.stls.local|vmware-postgres-archiver|27210|2.894744|2019-06-10 06:13:23.907000|2019-06-10 06:13:21.012256
1560147086|cloud02-w3.stls.local|vpxd|18100|109.319451|2019-06-10 06:13:16.095000|2019-06-10 06:11:26.775549
1560147197|cloud02-w3.stls.local|vsan-dps|26891|54.633951|2019-06-10 06:14:12.232000|2019-06-10 06:13:17.598049
1560147195|cloud02-w3.stls.local|vsan-health|26861|73.824574|2019-06-10 06:14:29.786000|2019-06-10 06:13:15.961426
1560147197|cloud02-w3.stls.local|vsm|26889|27.602974|2019-06-10 06:13:44.975000|2019-06-10 06:13:17.372026
