date|vcName|service|pid|boot_time_in_sec|last_started_at|last_triggered_at
1562079900|cloud02-w3.stls.local|system|0|22.777|2019-07-02 15:05:00|2019-07-02 15:05:00
1562079949|cloud02-w3.stls.local|vmdird|2200|3.275832|2019-07-02 15:05:52.325892|2019-07-02 15:05:49.050060
1562079952|cloud02-w3.stls.local|vmcad|2485|2.097371|2019-07-02 15:05:54.257621|2019-07-02 15:05:52.160250
1562079948|cloud02-w3.stls.local|vmafdd|2123|0.486037|2019-07-02 15:05:48.724088|2019-07-02 15:05:48.238051
1562079941|cloud02-w3.stls.local|vmware-pod|1683|0.684852|2019-07-02 15:05:42|2019-07-02 15:05:41.315148
1562079950|cloud02-w3.stls.local|analytics|2241|45.384242|2019-07-02 15:06:35.854000|2019-07-02 15:05:50.469758
1562079954|cloud02-w3.stls.local|applmgmt|2640|11.586858|2019-07-02 15:06:06.231000|2019-07-02 15:05:54.644142
1562080011|cloud02-w3.stls.local|certificatemanagement|4277|16.537867|2019-07-02 15:07:08.321000|2019-07-02 15:06:51.783133
1562079950|cloud02-w3.stls.local|cis-license|2374|37.41264|2019-07-02 15:06:28.340000|2019-07-02 15:05:50.927360
1562080083|cloud02-w3.stls.local|content-library|7864|52.700721|2019-07-02 15:08:55.772000|2019-07-02 15:08:03.071279
1562079953|cloud02-w3.stls.local|eam|2572|43.450841|2019-07-02 15:06:36.666000|2019-07-02 15:05:53.215159
1562079950|cloud02-w3.stls.local|envoy|2239|1.459851|2019-07-02 15:05:51.816000|2019-07-02 15:05:50.356149
1562080012|cloud02-w3.stls.local|hvc|4275|21.580628|2019-07-02 15:07:14.082000|2019-07-02 15:06:52.501372
1562079956|cloud02-w3.stls.local|lookupsvc|2731|55.684327|2019-07-02 15:06:52.390000|2019-07-02 15:05:56.705673
1562080082|cloud02-w3.stls.local|perfcharts|7863|38.890951|2019-07-02 15:08:41.854000|2019-07-02 15:08:02.963049
1562080082|cloud02-w3.stls.local|pschealth|7833|1.973694|2019-07-02 15:08:04.079000|2019-07-02 15:08:02.105306
1562079952|cloud02-w3.stls.local|rhttpproxy|2424|3.022324|2019-07-02 15:05:55.324000|2019-07-02 15:05:52.301676
1562080013|cloud02-w3.stls.local|sca|4326|27.979908|2019-07-02 15:07:21.424000|2019-07-02 15:06:53.444092
1562080083|cloud02-w3.stls.local|sps|7873|35.065652|2019-07-02 15:08:38.653000|2019-07-02 15:08:03.587348
1562079951|cloud02-w3.stls.local|statsmonitor|2307|0.500744|2019-07-02 15:05:52.230000|2019-07-02 15:05:51.729256
1562079949|cloud02-w3.stls.local|sts|2245|2.018169|2019-07-02 15:05:51.889000|2019-07-02 15:05:49.870831
1562080012|cloud02-w3.stls.local|topologysvc|4273|16.2011|2019-07-02 15:07:08.221000|2019-07-02 15:06:52.019900
1562080012|cloud02-w3.stls.local|trustmanagement|4279|19.016912|2019-07-02 15:07:11.181000|2019-07-02 15:06:52.164088
1562080084|cloud02-w3.stls.local|updatemgr|8031|26.859925|2019-07-02 15:08:31.172000|2019-07-02 15:08:04.312075
1562080013|cloud02-w3.stls.local|vapi-endpoint|4316|35.843379|2019-07-02 15:07:29.299000|2019-07-02 15:06:53.455621
1562080012|cloud02-w3.stls.local|vlcm|4280|12.467037|2019-07-02 15:07:05.118000|2019-07-02 15:06:52.650963
1562080029|cloud02-w3.stls.local|vmonapi|5142|2.464914|2019-07-02 15:07:12.313000|2019-07-02 15:07:09.848086
1562079956|cloud02-w3.stls.local|vmware-postgres-archiver|2760|1.03519|2019-07-02 15:05:58.025000|2019-07-02 15:05:56.989810
1562079954|cloud02-w3.stls.local|vmware-vpostgres|2626|2.295986|2019-07-02 15:05:56.435000|2019-07-02 15:05:54.139014
1562080060|cloud02-w3.stls.local|vpxd|6935|21.790121|2019-07-02 15:08:02.076000|2019-07-02 15:07:40.285879
1562080013|cloud02-w3.stls.local|vpxd-svcs|4313|44.31787|2019-07-02 15:07:37.747000|2019-07-02 15:06:53.429130
1562080083|cloud02-w3.stls.local|vsan-dps|7883|0.800271|2019-07-02 15:08:04.372000|2019-07-02 15:08:03.571729
1562080082|cloud02-w3.stls.local|vsan-health|7836|36.137843|2019-07-02 15:08:38.855000|2019-07-02 15:08:02.717157
1562080082|cloud02-w3.stls.local|vsm|7904|18.864638|2019-07-02 15:08:21.734000|2019-07-02 15:08:02.869362
1562079956|cloud02-w3.stls.local|vsphere-client|2732|100.598334|2019-07-02 15:07:36.613000|2019-07-02 15:05:56.014666
1562079956|cloud02-w3.stls.local|vsphere-ui|2747|65.779166|2019-07-02 15:07:01.940000|2019-07-02 15:05:56.160834
1562080086|cloud02-w3.stls.local|wcp|8129|11.224983|2019-07-02 15:08:17.532000|2019-07-02 15:08:06.307017
