date|vcName|service|pid|boot_time_in_sec|last_started_at|last_triggered_at
1562336940|cloud02-w3.stls.local|system|0|26.240|2019-07-05 14:29:00|2019-07-05 14:29:00
1562336999|cloud02-w3.stls.local|vmcad|3295|2.816123|2019-07-05 14:30:02.657685|2019-07-05 14:29:59.841562
1562336995|cloud02-w3.stls.local|vmafdd|2563|0.759442|2019-07-05 14:29:55.763254|2019-07-05 14:29:55.003812
1562336988|cloud02-w3.stls.local|vmware-pod|1702|1.868676|2019-07-05 14:29:50|2019-07-05 14:29:48.131324
1562336997|cloud02-w3.stls.local|analytics|2788|36.006235|2019-07-05 14:30:33.391000|2019-07-05 14:29:57.384765
1562414500|cloud02-w3.stls.local|applmgmt|632|11.122564|2019-07-06 12:01:51.944000|2019-07-06 12:01:40.821436
1562337053|cloud02-w3.stls.local|certificatemanagement|9899|14.138023|2019-07-05 14:31:07.402000|2019-07-05 14:30:53.263977
1562336998|cloud02-w3.stls.local|cis-license|3040|28.258146|2019-07-05 14:30:26.946000|2019-07-05 14:29:58.687854
1562337121|cloud02-w3.stls.local|content-library|17612|53.227463|2019-07-05 14:32:54.379000|2019-07-05 14:32:01.151537
1562337000|cloud02-w3.stls.local|eam|3519|32.79977|2019-07-05 14:30:33.362000|2019-07-05 14:30:00.562230
1562336997|cloud02-w3.stls.local|envoy|2785|1.682909|2019-07-05 14:29:58.721000|2019-07-05 14:29:57.038091
1562337052|cloud02-w3.stls.local|hvc|9895|18.80214|2019-07-05 14:31:11.285000|2019-07-05 14:30:52.482860
1562337012|cloud02-w3.stls.local|lookupsvc|6003|40.511795|2019-07-05 14:30:52.629000|2019-07-05 14:30:12.117205
1562337120|cloud02-w3.stls.local|perfcharts|17643|32.91823|2019-07-05 14:32:33.722000|2019-07-05 14:32:00.803770
1562337120|cloud02-w3.stls.local|pschealth|17571|2.11728|2019-07-05 14:32:02.365000|2019-07-05 14:32:00.247720
1562336998|cloud02-w3.stls.local|rhttpproxy|3172|12.382205|2019-07-05 14:30:11.202000|2019-07-05 14:29:58.819795
1562337053|cloud02-w3.stls.local|sca|9988|28.206249|2019-07-05 14:31:21.428000|2019-07-05 14:30:53.221751
1562337120|cloud02-w3.stls.local|sps|17644|36.319708|2019-07-05 14:32:36.928000|2019-07-05 14:32:00.608292
1562336997|cloud02-w3.stls.local|statsmonitor|2810|3.048306|2019-07-05 14:30:00.067000|2019-07-05 14:29:57.018694
1562336997|cloud02-w3.stls.local|sts|2790|1.404792|2019-07-05 14:29:58.852000|2019-07-05 14:29:57.447208
1562337052|cloud02-w3.stls.local|topologysvc|9893|14.486444|2019-07-05 14:31:07.346000|2019-07-05 14:30:52.859556
1562337053|cloud02-w3.stls.local|trustmanagement|9902|18.00629|2019-07-05 14:31:11.312000|2019-07-05 14:30:53.305710
1562337121|cloud02-w3.stls.local|updatemgr|17807|36.283909|2019-07-05 14:32:38.041000|2019-07-05 14:32:01.757091
1562337053|cloud02-w3.stls.local|vapi-endpoint|9993|27.699249|2019-07-05 14:31:20.897000|2019-07-05 14:30:53.197751
1562337052|cloud02-w3.stls.local|vlcm|9901|19.236362|2019-07-05 14:31:11.951000|2019-07-05 14:30:52.714638
1562337066|cloud02-w3.stls.local|vmonapi|11003|3.559108|2019-07-05 14:31:09.877000|2019-07-05 14:31:06.317892
1562337004|cloud02-w3.stls.local|vmware-postgres-archiver|4056|2.187359|2019-07-05 14:30:06.927000|2019-07-05 14:30:04.739641
1562337002|cloud02-w3.stls.local|vmware-vpostgres|3577|2.782054|2019-07-05 14:30:05|2019-07-05 14:30:02.217946
1562337099|cloud02-w3.stls.local|vpxd|16349|20.627373|2019-07-05 14:32:00.281000|2019-07-05 14:31:39.653627
1562337053|cloud02-w3.stls.local|vpxd-svcs|9984|44.846491|2019-07-05 14:31:37.967000|2019-07-05 14:30:53.120509
1562337120|cloud02-w3.stls.local|vsan-dps|17638|2.208534|2019-07-05 14:32:02.762000|2019-07-05 14:32:00.553466
1562337119|cloud02-w3.stls.local|vsan-health|17572|37.255773|2019-07-05 14:32:37.242000|2019-07-05 14:31:59.986227
1562337121|cloud02-w3.stls.local|vsm|17613|26.999605|2019-07-05 14:32:28.404000|2019-07-05 14:32:01.404395
1562337011|cloud02-w3.stls.local|vsphere-client|6087|99.031185|2019-07-05 14:31:50.895000|2019-07-05 14:30:11.863815
1562576055|cloud02-w3.stls.local|vsphere-ui|35354|38.88673|2019-07-08 08:54:54.228000|2019-07-08 08:54:15.341270
1562337123|cloud02-w3.stls.local|wcp|17958|12.460807|2019-07-05 14:32:16.248000|2019-07-05 14:32:03.787193
