Service|BootTime|LastBootedAt
SYSTEM|26.352|2019-04-24 16:04
vsphere-client|90.826104|2019-04-24 16:04:35.188896
lookupsvc|43.246972|2019-04-24 16:04:35.401028
content-library|52.362746|2019-04-24 16:06:16.616254
updatemgr|27.920209|2019-04-24 16:06:16.847791
eam|38.523962|2019-04-24 16:04:32.044038
vsan-dps|1.417075|2019-04-24 16:06:16.213925
certificatemanagement|15.54854|2019-04-24 16:05:19.386460
rhttpproxy|2.630299|2019-04-24 16:04:31.597701
perfcharts|37.376789|2019-04-24 16:06:15.776211
topologysvc|15.6816|2019-04-24 16:05:18.956400
vsm|18.657352|2019-04-24 16:06:16.126648
statsmonitor|2.849639|2019-04-24 16:04:28.298361
sca|36.944599|2019-04-24 16:05:19.499401
applmgmt|12.083167|2019-04-24 16:04:32.676833
trustmanagement|14.947019|2019-04-24 16:05:18.853981
vpxd|17.138072|2019-04-24 16:05:58.062928
vsan-health|36.995701|2019-04-24 16:06:15.251299
vpxd-svcs|35.59946|2019-04-24 16:05:20.427540
envoy|1.533563|2019-04-24 16:04:28.601437
vsphere-ui|72.97929|2019-04-24 16:04:34.770710
cis-license|36.242481|2019-04-24 16:04:29.939519
analytics|39.04282|2019-04-24 16:04:28.118180
hvc|16.233666|2019-04-24 16:05:19.289334
sps|35.301|2019-04-24 16:06:16.521000
vapi-endpoint|27.336394|2019-04-24 16:05:19.692606


