Service|BootTimeSeconds|LastBootedAt
SYSTEM|20.822|2019-04-24 14:22
statsmonitor|1816.971266|2019-04-24 13:52:13.439734
envoy|473.585877|2019-04-24 14:29:15.505123
sps|701.739672|2019-04-24 14:22:16.177328
vapi-endpoint|1207.95406|2019-04-24 14:05:16.921940
content-library|490.257748|2019-04-24 14:21:17.524252
applmgmt|1240.072414|2019-04-24 14:03:18.168586
cis-license|1314.692045|2019-04-24 14:02:19.065955
perfcharts|591.012805|2019-04-24 14:19:19.433195
updatemgr|573.396066|2019-04-24 14:19:20.077934
vpxd|800.523365|2019-04-24 14:12:20.557635
vsphere-ui|1260.197334|2019-04-24 14:04:21.276666
rhttpproxy|1345.836521|2019-04-24 14:01:21.686479
vsan-health|830.219842|2019-04-24 14:15:22.339158
topologysvc|1541.391333|2019-04-24 13:59:22.733667
sca|1561.043151|2019-04-24 13:59:23.101849
vsphere-client|1395.992997|2019-04-24 14:02:23.463003
vcha|2347.802028|2019-04-24 13:43:23.842972
certificatemanagement|1659.820535|2019-04-24 13:57:24.274465
lookupsvc|1400.206851|2019-04-24 14:01:24.618149
vsm|906.132648|2019-04-24 14:13:24.968352
vsan-dps|924.417247|2019-04-24 14:13:25.331753
hvc|1724.317201|2019-04-24 13:56:25.724799
vpxd-svcs|1754.979447|2019-04-24 13:56:26.101553
eam|1619.237496|2019-04-24 13:57:26.488504
analytics|1794.391013|2019-04-24 13:54:26.827987
trustmanagement|1840.817995|2019-04-24 13:54:27.254005
