FromHost|ToHost|NetworkLatencyMs|ThresholdMs|NetworkLatencyCheckResult
Host-72741|Host-73598|22.97|5|Yellow
Host-72741|Host-74107|21.56|5|Yellow
Host-72741|Host-74045|34.40|5|Yellow
Host-72741|Host-73483|21.97|5|Yellow
Host-72741|Host-73695|39.18|5|Yellow
Host-72741|Host-75308|18.39|5|Yellow
Host-72741|Host-72985|18.60|5|Yellow
Host-72741|Host-73071|18.68|5|Yellow
Host-72741|Host-75502|19.40|5|Yellow
Host-72741|Host-74637|18.85|5|Yellow
Host-72741|Host-72858|15.28|5|Yellow
Host-72741|Host-73867|38.94|5|Yellow
Host-72741|Host-72628|5.10|5|Yellow
Host-72741|Host-74319|22.80|5|Yellow
Host-72741|Host-72904|9.12|5|Yellow
Host-72741|Host-75780|14.98|5|Yellow
Host-72741|Host-72947|15.19|5|Yellow
Host-72741|Host-73804|21.67|5|Yellow
Host-72741|Host-73212|35.35|5|Yellow
Host-72741|Host-72689|16.54|5|Yellow
Host-72741|Host-73749|7.19|5|Yellow
Host-72741|Host-74914|14.97|5|Yellow
Host-72741|Host-72802|23.39|5|Yellow
Host-72741|Host-75072|9.91|5|Yellow
Host-72741|Host-73867|5.59|5|Yellow
Host-72741|Host-74319|7.00|5|Yellow
Host-72741|Host-74914|8.31|5|Yellow
Host-72741|Host-72802|6.21|5|Yellow
Host-75072|Host-72741|5.22|5|Yellow
Host-75072|Host-72802|12.90|5|Yellow
Host-75072|Host-74914|13.06|5|Yellow
Host-75072|Host-72689|66.45|5|Yellow
Host-75072|Host-73212|64.67|5|Yellow
Host-75072|Host-73804|13.15|5|Yellow
Host-75072|Host-72947|8.84|5|Yellow
Host-75072|Host-75780|64.50|5|Yellow
Host-75072|Host-72904|6.73|5|Yellow
Host-75072|Host-74319|10.13|5|Yellow
Host-75072|Host-72628|5.63|5|Yellow
Host-75072|Host-73867|9.95|5|Yellow
Host-75072|Host-72858|33.31|5|Yellow
Host-75072|Host-74637|9.97|5|Yellow
Host-75072|Host-75502|8.71|5|Yellow
Host-75072|Host-73071|13.15|5|Yellow
Host-75072|Host-72985|9.86|5|Yellow
Host-75072|Host-75308|10.16|5|Yellow
Host-75072|Host-73695|8.81|5|Yellow
Host-75072|Host-73483|54.35|5|Yellow
Host-75072|Host-74045|64.10|5|Yellow
Host-75072|Host-74107|53.83|5|Yellow
Host-75072|Host-73598|14.79|5|Yellow
Host-75072|Host-72985|6.71|5|Yellow
Host-72802|Host-73922|14.56|5|Yellow
Host-72802|Host-74107|45.65|5|Yellow
Host-72802|Host-74045|74.78|5|Yellow
Host-72802|Host-73483|43.99|5|Yellow
Host-72802|Host-73257|14.51|5|Yellow
Host-72802|Host-73695|17.88|5|Yellow
Host-72802|Host-75308|11.37|5|Yellow
Host-72802|Host-72985|11.35|5|Yellow
Host-72802|Host-73071|18.06|5|Yellow
Host-72802|Host-74353|14.27|5|Yellow
Host-72802|Host-75502|17.71|5|Yellow
Host-72802|Host-73644|14.29|5|Yellow
Host-72802|Host-72858|54.09|5|Yellow
Host-72802|Host-73867|14.40|5|Yellow
Host-72802|Host-72628|18.40|5|Yellow
Host-72802|Host-73027|15.01|5|Yellow
Host-72802|Host-72904|17.88|5|Yellow
Host-72802|Host-75780|74.04|5|Yellow
Host-72802|Host-72947|24.53|5|Yellow
Host-72802|Host-73804|18.05|5|Yellow
Host-72802|Host-73212|76.21|5|Yellow
Host-72802|Host-72689|78.74|5|Yellow
Host-72802|Host-73749|14.81|5|Yellow
Host-72802|Host-74914|18.32|5|Yellow
Host-72802|Host-75072|12.51|5|Yellow
Host-72802|Host-72741|17.91|5|Yellow
Host-72802|Host-74353|5.25|5|Yellow
Host-72802|Host-73644|5.85|5|Yellow
Host-72802|Host-72628|5.85|5|Yellow
Host-72802|Host-73027|5.68|5|Yellow
Host-72802|Host-72904|5.69|5|Yellow
Host-72802|Host-73804|7.64|5|Yellow
Host-72802|Host-73749|5.19|5|Yellow
Host-72802|Host-72741|5.24|5|Yellow
Host-72689|Host-72741|37.53|5|Yellow
Host-72689|Host-75072|37.56|5|Yellow
Host-72689|Host-72802|58.50|5|Yellow
Host-72689|Host-74914|58.42|5|Yellow
Host-72689|Host-73749|21.22|5|Yellow
Host-72689|Host-73804|58.38|5|Yellow
Host-72689|Host-72947|58.27|5|Yellow
Host-72689|Host-72904|58.34|5|Yellow
Host-72689|Host-74319|77.69|5|Yellow
Host-72689|Host-73027|58.27|5|Yellow
Host-72689|Host-72628|98.58|5|Yellow
Host-72689|Host-73867|58.13|5|Yellow
Host-72689|Host-72858|80.75|5|Yellow
Host-72689|Host-74637|57.94|5|Yellow
Host-72689|Host-73644|77.72|5|Yellow
Host-72689|Host-75502|57.99|5|Yellow
Host-72689|Host-74353|58.17|5|Yellow
Host-72689|Host-73071|99.08|5|Yellow
Host-72689|Host-72985|58.10|5|Yellow
Host-72689|Host-75308|58.02|5|Yellow
Host-72689|Host-73695|57.93|5|Yellow
Host-72689|Host-73257|80.64|5|Yellow
Host-72689|Host-73483|80.60|5|Yellow
Host-72689|Host-74107|103.98|5|Yellow
Host-72689|Host-73922|77.64|5|Yellow
Host-72689|Host-73598|77.57|5|Yellow
Host-72689|Host-72947|10.10|5|Yellow
Host-72689|Host-74319|8.74|5|Yellow
Host-72689|Host-73071|7.53|5|Yellow
Host-72689|Host-73257|9.44|5|Yellow
Host-72689|Host-73483|5.76|5|Yellow
Host-72689|Host-74107|5.06|5|Yellow
Host-72689|Host-73922|6.93|5|Yellow
Host-73749|Host-73598|19.26|5|Yellow
